Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Accuracy (mean),CV Accuracy (std)
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,0.9780219780219781,0.009828870230768321
SVM (RBF),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,0.9670329670329672,0.015540808377726326
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313,0.964835164835165,0.01758241758241759
K-Nearest Neighbors,0.9736842105263158,0.96,1.0,0.9795918367346939,0.9884259259259259,0.9604395604395604,0.019159995356222755
